,Zusammenfassung,Min_Kompressionsrate,Max_Kompressionsrate,Endgueltige_Kompressionsrate,länge Zusammenfassung,länge Ausgangstext,batch_texts,batch_output,text,text_rank_text,tokens_gesamt,token_text_rank,desired_compression_rate,text_rank_compression_rate,current_compression_rate,compression_difference,reduction_multiplier,ent_com_rate
0,The Administration of Union Territory Daman and Diu has revoked its order that made it compulsory for women to tie rakhis to their male colleagues on the occasion of Rakshabandhan on August 7.,34,51.0,100.0,33,33,[],['The Administration of Union Territory Daman and Diu has revoked its order that made it compulsory for women to tie rakhis to their male colleagues on the occasion of Rakshabandhan on August 7.'],The Administration of Union Territory Daman and Diu has revoked its order that made it compulsory for women to tie rakhis to their male colleagues on the occasion of Rakshabandhan on August 7. The administration was forced to withdraw the decision within 24 hours of issuing the circular after it received flak from employees and was slammed on social media.,The Administration of Union Territory Daman and Diu has revoked its order that made it compulsory for women to tie rakhis to their male colleagues on the occasion of Rakshabandhan on August 7,60,33,0.54,0.55,0.55,-0.010000000000000009,0.9818181818181818,0.55
1,"Malaika responded, ""You certainly got to get your damn facts right before spewing sh*t on me"" ""Her life now is all about wearing short clothes, going to gym or salon",42,63.0,75.0,30,40,[],"['Malaika responded, ""You certainly got to get your damn facts right before spewing sh*t on me"" ""Her life now is all about wearing short clothes, going to gym or salon']","Malaika Arora slammed an Instagram user who trolled her for ""divorcing a rich man"" and ""having fun with the alimony"". ""Her life now is all about wearing short clothes, going to gym or salon, enjoying vacation[s],"" the user commented. Malaika responded, ""You certainly got to get your damn facts right before spewing sh*t on me...when you know nothing about me.""","""Her life now is all about wearing short clothes, going to gym or salon, enjoying vacation[s],"" the user commented. Malaika responded, ""You certainly got to get your damn facts right before spewing sh*t on me.when you know nothing about me.""",60,40,0.46,0.6666666666666666,0.6666666666666666,-0.2066666666666666,0.6900000000000001,0.5
2,"Bihar Health Minister defined virgin as being an unmarried woman and did not consider the term objectionable. The institute, however, faced strong backlash for asking new recruits to declare their virginity in the form.",36,54.0,97.14285714285714,34,35,[],"['Bihar Health Minister defined virgin as being an unmarried woman and did not consider the term objectionable. The institute, however, faced strong backlash for asking new recruits to declare their virginity in the form.']","The Indira Gandhi Institute of Medical Sciences (IGIMS) in Patna on Thursday made corrections in its Marital Declaration Form by changing Virgin option to Unmarried. Earlier, Bihar Health Minister defined virgin as being an unmarried woman and did not consider the term objectionable. The institute, however, faced strong backlash for asking new recruits to declare their virginity in the form.","Earlier, Bihar Health Minister defined virgin as being an unmarried woman and did not consider the term objectionable. The institute, however, faced strong backlash for asking new recruits to declare their virginity in the form.",60,35,0.55,0.5833333333333334,0.5833333333333334,-0.033333333333333326,0.9428571428571428,0.5666666666666667
3,"Lashkar e Taibas Kashmir commander Abu Dujana was killed by security forces. He was caught and said: ""Today you",35,52.5,55.88235294117647,19,34,[],"['Lashkar e Taibas Kashmir commander Abu Dujana was killed by security forces. He was caught and said: ""Today you']","Lashkar e Taibas Kashmir commander Abu Dujana, who was killed by security forces, said ""Kabhi hum aage, kabhi aap, aaj aapne pakad liya, mubarak ho aapko (Today you caught me. Congratulations)"" after being caught. He added that he wont surrender, and whatever is in his fate will happen to him. ""Hum nikley they shaheed hone (had left home for martyrdom),"" he added.","Lashkar e Taibas Kashmir commander Abu Dujana, who was killed by security forces, said ""Kabhi hum aage, kabhi aap, aaj aapne pakad liya, mubarak ho aapko (Today you caught me. Congratulations)"" after being caught",62,34,0.32,0.5666666666666667,0.5483870967741935,-0.2283870967741935,0.583529411764706,0.3064516129032258
4,Hotels in Maharashtra will train their staff to spot signs of sex trafficking. Do not disturb signs will be left on room doors for days. A mobile phone app called Rescue Me will allow staff to alert police of suspicious behaviour.,53,79.5,80.3921568627451,41,51,[],['Hotels in Maharashtra will train their staff to spot signs of sex trafficking. Do not disturb signs will be left on room doors for days. A mobile phone app called Rescue Me will allow staff to alert police of suspicious behaviour.'],"Hotels in Maharashtra will train their staff to spot signs of sex trafficking, including frequent requests for bed linen changes and Do not disturb signs left on room doors for days. A mobile phone app called Rescue Me, which will allow staff to alert police of suspicious behaviour, will be developed. The initiative has been backed by the Maharashtra government.","Hotels in Maharashtra will train their staff to spot signs of sex trafficking, including frequent requests for bed linen changes and Do not disturb signs left on room doors for days. A mobile phone app called Rescue Me, which will allow staff to alert police of suspicious behaviour, will be developed",60,51,0.69,0.85,0.85,-0.16000000000000003,0.8117647058823529,0.6833333333333333
5,"Man found hanging inside washroom of a Delhi police station. Police said the man was named as a suspect in the kidnapping case of a married woman. He had been in a relationship with the woman earlier, according to police.",52,78.0,80.0,40,50,[],"['Man found hanging inside washroom of a Delhi police station. Police said the man was named as a suspect in the kidnapping case of a married woman. He had been in a relationship with the woman earlier, according to police.']",A 32 year old man on Wednesday was found hanging inside the washroom of a Delhi police station after he was called for interrogation. His family alleged that he could have been emotionally and physically tortured. Police said the man was named as a suspect in the kidnapping case of a married woman with whom he had been in a relationship earlier.,A 32 year old man on Wednesday was found hanging inside the washroom of a Delhi police station after he was called for interrogation. Police said the man was named as a suspect in the kidnapping case of a married woman with whom he had been in a relationship earlier.,62,50,0.69,0.8333333333333334,0.8064516129032258,-0.11645161290322581,0.8556,0.6451612903225806
6,Delhi High Court reduces compensation awarded to motor accident victim by 45%. A compensation of .10 lakh was earlier awarded to the victim. The court found negligence on the part of both parties.,37,55.5,91.66666666666666,33,36,[],['Delhi High Court reduces compensation awarded to motor accident victim by 45%. A compensation of .10 lakh was earlier awarded to the victim. The court found negligence on the part of both parties.'],"The Delhi High Court reduced the compensation awarded to a motor accident victim by 45% after it found negligence on the part of both parties. A compensation of .10 lakh was earlier awarded to the victim. The court observed, ""Its possible despite the vehicle being driven in permissible limit, an accident can occur when a jaywalker suddenly appears on road."" ",The Delhi High Court reduced the compensation awarded to a motor accident victim by 45% after it found negligence on the part of both parties. A compensation of .10 lakh was earlier awarded to the victim,61,36,0.59,0.6,0.5901639344262295,-0.00016393442622952836,0.9997222222222222,0.5409836065573771
7,60 year old Dalit woman was allegedly lynched in Agra. Villagers thought that she was behind the recent cases of,28,42.0,74.07407407407408,20,27,[],['60 year old Dalit woman was allegedly lynched in Agra. Villagers thought that she was behind the recent cases of'],"A 60 year old Dalit woman was allegedly lynched in Agra after villagers thought that she was behind the recent cases of chopping hair of sleeping women. The family members of the woman who left home around 4 am on Wednesday said, ""She pleaded that she had lost her way but they took her as one responsible for chopping women hair.""",A 60 year old Dalit woman was allegedly lynched in Agra after villagers thought that she was behind the recent cases of chopping hair of sleeping women,61,27,0.3,0.45,0.4426229508196721,-0.14262295081967213,0.6777777777777778,0.32786885245901637
8,"The Pawan Hans helicopter was flying at a critically low height. The report further mentioned that the instructor, despite being aware of the low height, didnt take control of the helicopter. The trainee pilot wasn't able to manage the",63,94.5,65.0,39,60,[],"[""The Pawan Hans helicopter was flying at a critically low height. The report further mentioned that the instructor, despite being aware of the low height, didnt take control of the helicopter. The trainee pilot wasn't able to manage the""]","An inquiry by the Aircraft Accident Investigation Bureau found that the Pawan Hans helicopter was flying at a critically low height, resulting in its crash near Bombay High in 2015. The report further mentioned that the instructor, despite being aware of the low height, didnt take control of the helicopter after the trainee pilot wasn.t able to manage the situation. ","An inquiry by the Aircraft Accident Investigation Bureau found that the Pawan Hans helicopter was flying at a critically low height, resulting in its crash near Bombay High in 2015. The report further mentioned that the instructor, despite being aware of the low height, didnt take control of the helicopter after the trainee pilot wasn.t able to manage the situation",61,60,0.51,1.0,0.9836065573770492,-0.47360655737704915,0.5185000000000001,0.639344262295082
9,The Congress party has opened a bank called State Bank of Tomato in Uttar Pradeshs Lucknow. People can get interests on deposits and also get vegetables on loan in,43,64.5,70.73170731707317,29,41,[],['The Congress party has opened a bank called State Bank of Tomato in Uttar Pradeshs Lucknow. People can get interests on deposits and also get vegetables on loan in'],"The Congress party has opened a bank called State Bank of Tomato in Uttar Pradeshs Lucknow, in a protest against the rising prices of the vegetable. People can get interests on deposits and also get vegetables on loan in the bank. ""I have deposited 0.5 Kg tomatoes, will get 1 kg after 6 months,"" said a man.","The Congress party has opened a bank called State Bank of Tomato in Uttar Pradeshs Lucknow, in a protest against the rising prices of the vegetable. People can get interests on deposits and also get vegetables on loan in the bank",57,41,0.4,0.7192982456140351,0.7192982456140351,-0.3192982456140351,0.5560975609756098,0.5087719298245614
